word,cooc_count,word_count,pmi
辞,24,26,0.02457878870659057
极,24,26,0.02457878870659057
罪,24,26,0.02457878870659057
窃,24,26,0.02457878870659057
问,47,52,0.021135826929737728
前,47,52,0.021135826929737728
世,39,43,0.020445812931215338
子孙,31,34,0.019400305935036034
今日,23,25,0.017629258522727228
四海,23,25,0.017629258522727228
彖,23,25,0.017629258522727228
不知,38,42,0.016139174719910186
生民,15,16,0.013976124187295264
发,15,16,0.013976124187295264
五年,15,16,0.013976124187295264
答,15,16,0.013976124187295264
四月,15,16,0.013976124187295264
朱子,15,16,0.013976124187295264
享,15,16,0.013976124187295264
祖,15,16,0.013976124187295264
识,15,16,0.013976124187295264
神,22,24,0.010085973597024334
思,22,24,0.010085973597024334
百姓,22,24,0.010085973597024334
一人,22,24,0.010085973597024334
先王,22,24,0.010085973597024334
即位,22,24,0.010085973597024334
常,22,24,0.010085973597024334
况,29,32,0.008077855410288918
乱,29,32,0.008077855410288918
际防,7,7,0.002039145273598506
句龙,7,7,0.002039145273598506
慷慨,7,7,0.002039145273598506
罔,7,7,0.002039145273598506
来俊臣,7,7,0.002039145273598506
甲,7,7,0.002039145273598506
逢,7,7,0.002039145273598506
梁武帝,7,7,0.002039145273598506
恃,7,7,0.002039145273598506
蔚,7,7,0.002039145273598506
夏社,7,7,0.002039145273598506
变化,7,7,0.002039145273598506
不出,7,7,0.002039145273598506
夏商,7,7,0.002039145273598506
朔旦,7,7,0.002039145273598506
斗,7,7,0.002039145273598506
坚,7,7,0.002039145273598506
十二年,7,7,0.002039145273598506
屡,7,7,0.002039145273598506
刚中,7,7,0.002039145273598506
胡,7,7,0.002039145273598506
往来,7,7,0.002039145273598506
侍郎,7,7,0.002039145273598506
明哲,7,7,0.002039145273598506
旦,7,7,0.002039145273598506
援,7,7,0.002039145273598506
天罚,7,7,0.002039145273598506
不安,7,7,0.002039145273598506
【一作,7,7,0.002039145273598506
乙丑,7,7,0.002039145273598506
众人,7,7,0.002039145273598506
目,7,7,0.002039145273598506
典章,7,7,0.002039145273598506
坎,7,7,0.002039145273598506
稷,7,7,0.002039145273598506
小子,7,7,0.002039145273598506
不孚,7,7,0.002039145273598506
推迁,7,7,0.002039145273598506
开辟,7,7,0.002039145273598506
开元,7,7,0.002039145273598506
长寿,7,7,0.002039145273598506
颁,7,7,0.002039145273598506
聚,7,7,0.002039145273598506
大夫,7,7,0.002039145273598506
其义,7,7,0.002039145273598506
长子,7,7,0.002039145273598506
新旧,7,7,0.002039145273598506
远,7,7,0.002039145273598506
预,7,7,0.002039145273598506
闭,7,7,0.002039145273598506
是非,7,7,0.002039145273598506
闰,7,7,0.002039145273598506
尉,7,7,0.002039145273598506
不劳,7,7,0.002039145273598506
汉祚,7,7,0.002039145273598506
恩,7,7,0.002039145273598506
营,7,7,0.002039145273598506
未几,7,7,0.002039145273598506
故事,7,7,0.002039145273598506
虞夏,7,7,0.002039145273598506
后王,7,7,0.002039145273598506
次年,7,7,0.002039145273598506
启,7,7,0.002039145273598506
留,7,7,0.002039145273598506
历数,7,7,0.002039145273598506
既而,7,7,0.002039145273598506
考之,7,7,0.002039145273598506
巳,7,7,0.002039145273598506
三百,7,7,0.002039145273598506
六情,7,7,0.002039145273598506
居贞,7,7,0.002039145273598506
凝命,7,7,0.002039145273598506
歴数,7,7,0.002039145273598506
洪范,7,7,0.002039145273598506
三十,7,7,0.002039145273598506
相传,7,7,0.002039145273598506
大魏,7,7,0.002039145273598506
左,7,7,0.002039145273598506
奉天,7,7,0.002039145273598506
白茅,7,7,0.002039145273598506
都督,7,7,0.002039145273598506
不暇,7,7,0.002039145273598506
军中,7,7,0.002039145273598506
鸿业,7,7,0.002039145273598506
寒暑,7,7,0.002039145273598506
先代,7,7,0.002039145273598506
私意,7,7,0.002039145273598506
事理,7,7,0.002039145273598506
既终,7,7,0.002039145273598506
忠亮,7,7,0.002039145273598506
南方,7,7,0.002039145273598506
陈氏,7,7,0.002039145273598506
千载,7,7,0.002039145273598506
齐诗,7,7,0.002039145273598506
焕然,7,7,0.002039145273598506
悦,7,7,0.002039145273598506
巩,7,7,0.002039145273598506
割,7,7,0.002039145273598506
拟,7,7,0.002039145273598506
画,7,7,0.002039145273598506
